cell_population,gene_id,gene_name,token_id
nTreg 0h,ENSG00000176928,GCNT4,13817
nTreg 0h,ENSG00000137642,SORL1,7394
nTreg 0h,ENSG00000160613,PCSK7,10347
TN 0h,ENSG00000157978,LDLRAP1,10008
TN 0h,ENSG00000135047,CTSL,6899
TN 0h,ENSG00000170486,KRT72,12599
TN 0h,ENSG00000169242,EFNA1,12325
TN 0h,ENSG00000163728,TTC14,10932
TN 0h,ENSG00000261150,EPPK1,18959
TN 0h,ENSG00000160307,S100B,10310
TEM 0h,ENSG00000178773,CPNE7,14106
TCM 0h,ENSG00000139679,LPAR6,7755
TCM 0h,ENSG00000221946,FXYD7,17859
TN LA,ENSG00000147457,CHMP7,8850
TN LA,ENSG00000198625,MDM4,16796
TN LA,ENSG00000100354,TNRC6B,2263
TN LA,ENSG00000143167,GPA33,8216
TN LA,ENSG00000004534,RBM6,56
TEMRA LA,ENSG00000203747,FCGR3A,16984
TEM LA,ENSG00000118515,SGK1,4781
TCM LA,ENSG00000105205,CLC,3030
TN NFKB,ENSG00000170345,FOS,12558
TN NFKB,ENSG00000198576,ARC,16785
TEMRA 16h,ENSG00000170776,AKAP13,12649
TEM 16h,ENSG00000050730,TNIP3,683
HSP 16h,ENSG00000136244,IL6,7142
TN2 40h,ENSG00000164399,IL3,11160
TN2 40h,ENSG00000125144,MT1G,5548
TN2 40h,ENSG00000205358,MT1H,17337
TN2 40h,ENSG00000100867,DHRS2,2379
TN cycling 40h,ENSG00000162511,LAPTM5,10581
TN cycling 40h,ENSG00000213203,GIMAP1,17531
TEM HLA+ 40h,ENSG00000100600,LGMN,2335
TEM 40h,ENSG00000141526,SLC16A3,8018
TCM 40h,ENSG00000117594,HSD11B1,4692
TN cycling 5d,ENSG00000198189,HSD17B11,16695
TN cycling 5d,ENSG00000197728,RPS26,16555
TN cycling 5d,ENSG00000105939,ZC3HAV1,3196
TN HSP 5d,ENSG00000132002,DNAJB1,6434
TN HSP 5d,ENSG00000173110,HSPA6,13170
TN HSP 5d,ENSG00000149257,SERPINH1,9057
TN HSP 5d,ENSG00000120129,DUSP1,4964
TN HSP 5d,ENSG00000197930,ERO1A,16611
TN 5d,ENSG00000152495,CAMK4,9410
TN 5d,ENSG00000106560,GIMAP2,3300
TN 5d,ENSG00000100100,PIK3IP1,2172
TM cycling 5d,ENSG00000196230,TUBB,16157
TM cycling 5d,ENSG00000124766,SOX4,5515
TM cycling 5d,ENSG00000244734,HBB,18469
TM cycling 5d,ENSG00000189058,APOD,16034
TM cycling 5d,ENSG00000102970,CCL17,2716
TEM HLA+ 5d,ENSG00000056736,IL17RB,764
TEM 5d,ENSG00000110876,SELPLG,3786
TCM 5d,ENSG00000187045,TMPRSS6,15627
TCM 5d,ENSG00000167772,ANGPTL4,11984
TCM 5d,ENSG00000197457,STMN3,16490
T ER-stress 5d,ENSG00000197249,SERPINA1,16438
